subject	segment	cloze	lab	item	n400
bris10	10	100	bris	103	12.23
bris10	11	100	bris	112	13.49
bris10	12	3	bris	109	15.90
bris10	13	80	bris	107	15.93
bris10	14	3	bris	110	12.18
bris10	15	0	bris	106	1.15
bris10	16	0	bris	114	17.13
bris10	17	0	bris	117	1.35
bris10	18	93	bris	104	18.24
bris10	19	87	bris	111	18.09
bris10	20	97	bris	108	2.05
bris10	21	90	bris	129	23.82
bris10	22	93	bris	123	8.58
bris10	23	30	bris	134	6.36
bris10	24	93	bris	140	28.47
bris10	25	27	bris	128	19.54
bris10	26	0	bris	125	11.14
bris10	27	0	bris	137	13.75
bris10	28	3	bris	121	14.27
bris10	29	17	bris	122	28.96
bris10	30	77	bris	136	22.71
bris10	31	0	bris	133	17.02
bris10	32	0	bris	138	4.46
bris10	33	97	bris	135	35.46
bris10	34	93	bris	124	29.60
bris10	35	80	bris	132	7.23
bris10	36	97	bris	139	0.82
bris10	37	77	bris	131	29.81
bris10	38	0	bris	130	-4.62
bris10	39	97	bris	127	23.02
bris10	40	0	bris	126	17.09
bris10	41	90	bris	151	-3.15
bris10	42	73	bris	159	20.40
bris10	43	50	bris	149	17.91
bris10	44	87	bris	148	20.93
bris10	45	93	bris	155	2.86
bris10	46	30	bris	154	3.24
bris10	47	13	bris	142	-6.65
bris10	48	90	bris	144	12.32
bris10	49	0	bris	158	9.67
bris10	50	7	bris	153	21.21
bris10	51	7	bris	141	12.02
bris10	52	0	bris	157	11.11
bris10	53	17	bris	145	20.03
bris10	54	100	bris	147	2.14
bris10	55	93	bris	143	-0.62
bris10	56	3	bris	150	-5.21
bris10	57	20	bris	146	40.19
bris10	58	90	bris	160	51.62
bris10	59	93	bris	156	39.72
bris10	60	97	bris	179	-18.83
bris10	61	7	bris	165	27.77
bris10	62	0	bris	178	11.18
bris10	63	0	bris	174	4.14
bris10	64	90	bris	171	2.93
bris10	65	7	bris	173	9.10
bris10	66	0	bris	161	6.28
bris10	67	90	bris	172	22.40
bris10	68	0	bris	169	0.51
bris10	69	60	bris	175	12.92
bris10	70	83	bris	163	0.63
bris10	71	0	bris	162	28.30
bris10	72	3	bris	170	-16.27
bris10	73	27	bris	168	3.36
bris10	74	0	bris	177	16.47
bris10	75	50	bris	164	-0.95
bris10	76	90	bris	176	9.46
bris10	77	7	bris	166	11.40
bris10	78	97	bris	180	-0.32
bris10	79	87	bris	167	12.54
bris11	1	93	bris	109	8.58
bris11	2	97	bris	113	7.95
bris11	3	62	bris	117	5.46
bris11	4	100	bris	106	10.93
bris11	5	80	bris	110	10.80
bris11	6	87	bris	118	-3.21
bris11	7	0	bris	115	-5.72
bris11	8	13	bris	112	1.66
bris11	9	100	bris	102	12.17
bris11	10	0	bris	120	11.04
bris11	11	7	bris	103	-1.19
bris11	12	20	bris	104	0.08
bris11	13	90	bris	114	15.51
bris11	14	34	bris	108	15.07
bris11	15	97	bris	101	8.02
bris11	16	7	bris	111	9.40
bris11	17	0	bris	116	-7.95
bris11	18	93	bris	105	-7.83
bris11	19	0	bris	107	-6.31
bris11	20	0	bris	119	2.17
bris11	21	53	bris	122	11.93
bris11	22	90	bris	130	1.47
bris11	23	90	bris	129	9.47
bris11	24	0	bris	127	-7.26
bris11	25	40	bris	124	3.51
bris11	26	87	bris	126	4.60
bris11	27	97	bris	134	-1.18
bris11	28	7	bris	136	-1.33
bris11	29	53	bris	133	5.59
bris11	30	3	bris	132	6.53
bris11	31	0	bris	135	-0.91
bris11	32	0	bris	131	-0.89
bris11	33	0	bris	140	8.68
bris11	34	3	bris	123	4.08
bris11	35	77	bris	121	6.44
bris11	36	93	bris	138	3.59
bris11	37	80	bris	137	-13.53
bris11	38	0	bris	139	18.70
bris11	39	67	bris	128	4.13
bris11	40	27	bris	160	10.74
bris11	41	67	bris	145	17.21
bris11	42	0	bris	156	15.53
bris11	43	13	bris	147	7.71
bris11	44	0	bris	152	5.42
bris11	45	3	bris	151	5.27
bris11	46	73	bris	158	26.80
bris11	47	7	bris	159	11.78
bris11	48	77	bris	154	-7.19
